course_id,date,course_title,count
04ba6d0b40670c43a209141fa01fa784,2018-12,Анимация интерфейсов,152.0
04ba6d0b40670c43a209141fa01fa784,2019-01,Анимация интерфейсов,221.0
04ba6d0b40670c43a209141fa01fa784,2019-02,Анимация интерфейсов,185.0
04ba6d0b40670c43a209141fa01fa784,2019-03,Анимация интерфейсов,175.0
04ba6d0b40670c43a209141fa01fa784,2019-04,Анимация интерфейсов,111.0
04ba6d0b40670c43a209141fa01fa784,2019-05,Анимация интерфейсов,99.0
04ba6d0b40670c43a209141fa01fa784,2019-06,Анимация интерфейсов,99.0
04ba6d0b40670c43a209141fa01fa784,2019-07,Анимация интерфейсов,48.0
0770b1b039964228294f1f34b29fc2c1,2016-03,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2016-04,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2016-05,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2016-06,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2016-07,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2016-08,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2016-09,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2016-10,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2016-11,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2016-12,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2017-01,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2017-02,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2017-03,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2017-04,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2017-05,Руководитель digital-проектов,1.0
0770b1b039964228294f1f34b29fc2c1,2017-06,Руководитель digital-проектов,2.0
0770b1b039964228294f1f34b29fc2c1,2017-07,Руководитель digital-проектов,1.0
0770b1b039964228294f1f34b29fc2c1,2017-08,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2017-09,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2017-10,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2017-11,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2017-12,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2018-01,Руководитель digital-проектов,0.0
0770b1b039964228294f1f34b29fc2c1,2018-02,Руководитель digital-проектов,240.0
0770b1b039964228294f1f34b29fc2c1,2018-03,Руководитель digital-проектов,245.0
0770b1b039964228294f1f34b29fc2c1,2018-04,Руководитель digital-проектов,231.0
0770b1b039964228294f1f34b29fc2c1,2018-05,Руководитель digital-проектов,230.0
0770b1b039964228294f1f34b29fc2c1,2018-06,Руководитель digital-проектов,284.0
0770b1b039964228294f1f34b29fc2c1,2018-07,Руководитель digital-проектов,276.0
0770b1b039964228294f1f34b29fc2c1,2018-08,Руководитель digital-проектов,279.0
0770b1b039964228294f1f34b29fc2c1,2018-09,Руководитель digital-проектов,299.0
0770b1b039964228294f1f34b29fc2c1,2018-10,Руководитель digital-проектов,337.0
0770b1b039964228294f1f34b29fc2c1,2018-11,Руководитель digital-проектов,292.0
0770b1b039964228294f1f34b29fc2c1,2018-12,Руководитель digital-проектов,292.0
0770b1b039964228294f1f34b29fc2c1,2019-01,Руководитель digital-проектов,376.0
