index,id,weather_state_name,weather_state_abbr,wind_direction_compass,created,applicable_date,min_temp,max_temp,the_temp,wind_speed,wind_direction,air_pressure,humidity,visibility,predictability
27,5308466946113536,Showers,s,WSW,2019-02-26T12:05:02.842208Z,2019-03-01,5.553333333333334,12.64,10.96,5.023336766682574,245.4113566976502,1016.825,76,11.239362125188897,73
28,5436851940753408,Showers,s,WSW,2019-02-26T09:03:02.545219Z,2019-03-01,5.553333333333334,12.64,10.96,5.023336766682574,245.4113566976502,1016.825,76,11.239362125188897,73
29,6095765321547776,Showers,s,WSW,2019-02-26T06:01:03.247057Z,2019-03-01,5.553333333333334,12.64,10.96,5.023336766682574,245.4113566976502,1016.825,76,11.239362125188897,73
30,5229498972766208,Showers,s,WSW,2019-02-26T02:59:02.894998Z,2019-03-01,5.553333333333334,12.64,10.96,5.023336766682574,245.4113566976502,1016.825,76,11.239362125188897,73
31,5623609567477760,Showers,s,WSW,2019-02-25T23:57:02.524487Z,2019-03-01,5.553333333333334,12.64,10.96,5.023336766682574,245.4113566976502,1016.825,76,11.239362125188897,73
32,6634182421774336,Showers,s,WSW,2019-02-25T20:54:47.743703Z,2019-03-01,5.553333333333334,12.64,10.96,5.023336766682574,245.4113566976502,1016.825,76,11.239362125188897,73
33,4563461751177216,Showers,s,WSW,2019-02-25T17:51:03.118980Z,2019-03-01,5.553333333333334,12.64,10.54,4.922674916682574,250.79190886131636,1016.825,77,11.932191004533523,73
34,6129776697802752,Showers,s,WSW,2019-02-25T14:49:02.790407Z,2019-03-01,5.5,13.096666666666666,10.54,4.080174916682574,246.75062254956066,1016.825,75,12.177632625467272,73
35,6586238305828864,Showers,s,WSW,2019-02-25T11:47:03.141220Z,2019-03-01,5.5,13.096666666666666,10.825,4.236760016682574,250.82444528695817,1016.825,75,11.2244492165752,73
36,6687204397023232,Light Cloud,lc,WNW,2019-02-25T08:45:03.506752Z,2019-03-01,3.756666666666666,14.006666666666668,11.84,4.985206588701981,285.93852941298485,1021.125,74,11.2244492165752,70
37,4557243343175680,Light Cloud,lc,NNW,2019-02-25T05:43:02.244150Z,2019-03-01,4.5166666666666675,13.323333333333332,12.065000000000001,5.112584238701981,336.32756722186025,1021.125,77,12.001473892467986,70
38,5467988608155648,Light Cloud,lc,SW,2019-02-25T02:41:03.544346Z,2019-03-01,6.696666666666666,13.79,12.85,5.678653095957608,235.2052990020877,1016.6,81,9.564766762109283,70
39,5425232175169536,Light Cloud,lc,WSW,2019-02-24T23:39:04.890173Z,2019-03-01,6.986666666666667,13.973333333333334,13.54,5.305200694610144,243.07461434229776,1016.2,78,9.997862483098704,70
40,5827015091421184,Light Cloud,lc,WSW,2019-02-24T20:37:04.990752Z,2019-03-01,6.986666666666667,13.973333333333334,13.54,5.305200694610144,243.76535735690948,1016.2,79,9.997862483098704,70
